time,gFx,gFy,gFz,TgF
0.001971077,-0.0029,0.3737,0.8915,0.967
0.004562154,0.0070,0.3636,0.9020,0.973
0.009191615,0.0121,0.3578,0.9096,0.977
0.021166384,0.0058,0.3585,0.9258,0.993
0.022262769,-0.0078,0.3634,0.9551,1.022
0.031551692,-0.0221,0.3675,1.0052,1.071
0.032471308,-0.0312,0.3688,1.0587,1.122
0.068727615,-0.0363,0.3688,1.0932,1.154
0.069176308,-0.0381,0.3651,1.1205,1.179
0.069322461,-0.0168,0.3619,1.1522,1.208
0.069445846,0.0202,0.3644,1.1750,1.230
0.069572538,0.0496,0.3734,1.1889,1.247
0.069689154,0.0691,0.3895,1.1810,1.246
0.069805538,0.1026,0.4179,1.1424,1.221
0.069919692,0.1870,0.4674,1.0787,1.190
0.074854154,0.2169,0.5065,1.0340,1.172
0.085648538,0.2177,0.5253,1.0322,1.178
0.086030769,0.2692,0.5370,1.0496,1.209
0.090279077,0.3270,0.5470,1.0592,1.236
0.138982461,0.3249,0.5451,1.0748,1.248
0.139637231,0.3117,0.5317,1.0753,1.239
0.139806154,0.3263,0.5153,1.0450,1.210
0.139957231,0.3354,0.5048,0.9893,1.160
0.140098461,0.3168,0.4963,0.9040,1.079
0.140232846,0.2706,0.4862,0.7914,0.967
0.140379615,0.2245,0.4787,0.6834,0.864
0.140506692,0.1832,0.4645,0.6011,0.781
0.140622461,0.1353,0.4447,0.5363,0.710
0.140725769,0.0705,0.4289,0.4682,0.639
0.151103077,-0.0288,0.4201,0.3825,0.569
0.151786154,-0.1668,0.4203,0.2689,0.526
0.155322384,-0.3041,0.4112,0.1811,0.543
0.172713461,-0.4283,0.3776,0.1753,0.597
0.173524615,-0.5423,0.3372,0.2475,0.685
0.174415615,-0.5790,0.3064,0.3455,0.741
0.175397538,-0.5308,0.2894,0.4636,0.762
0.194971692,-0.4148,0.2730,0.6036,0.782
0.195949846,-0.2494,0.2458,0.7523,0.830
0.196565231,-0.1089,0.2107,0.8896,0.921
0.197812231,-0.0258,0.1834,1.0238,1.040
0.200620846,0.0114,0.1725,1.1347,1.148
0.205642077,0.0591,0.1738,1.2008,1.215
0.211982154,0.1292,0.1755,1.2153,1.235
0.222912538,0.2159,0.1777,1.1869,1.219
0.223195384,0.3090,0.1848,1.1435,1.199
0.225738154,0.3971,0.1924,1.0924,1.178
0.231145538,0.4854,0.1990,1.0379,1.163
0.236070384,0.5988,0.1897,1.0117,1.191
0.241115384,0.6952,0.1890,1.0093,1.240
0.257354461,0.7742,0.1914,1.0220,1.296
0.257901461,0.8077,0.2060,1.0235,1.320
0.258131308,0.7935,0.2417,1.0059,1.304
0.261812308,0.7597,0.2842,0.9881,1.278
0.265537538,0.7134,0.3169,0.9668,1.243
0.271231692,0.6454,0.3418,0.9282,1.181
0.275888308,0.5834,0.3507,0.8866,1.118
0.288120308,0.5433,0.3427,0.8537,1.068
0.288952,0.5138,0.3323,0.8200,1.023
0.292264308,0.5086,0.3182,0.7995,1.000
0.298310154,0.5257,0.3059,0.7980,1.003
0.301832846,0.5347,0.3069,0.8116,1.019
0.306487923,0.5189,0.3180,0.8319,1.031
0.311644,0.4800,0.3257,0.8383,1.019
0.330624308,0.4280,0.3285,0.8251,0.986
0.331166769,0.3666,0.3321,0.8046,0.945
0.331330461,0.3053,0.3434,0.7792,0.905
0.331480538,0.2112,0.3678,0.7769,0.885
0.336259692,0.1062,0.4049,0.7501,0.859
0.342058077,0.0525,0.4589,0.6274,0.779
0.346797231,-0.0060,0.5281,0.5503,0.763
0.351977769,0.0127,0.5879,0.4799,0.759
0.357055615,0.0813,0.6390,0.4261,0.772
0.363466154,0.1541,0.6951,0.3923,0.813
0.367295308,0.2289,0.7548,0.3844,0.877
0.372143308,0.3163,0.8137,0.3963,0.959
0.379866769,0.4057,0.8666,0.4201,1.045
0.381309769,0.4758,0.9038,0.4738,1.126
0.386777231,0.5059,0.9221,0.5390,1.182
0.391928615,0.4984,0.9269,0.5559,1.190
0.396806384,0.5022,0.8859,0.5168,1.142
0.401895615,0.5729,0.7682,0.5144,1.088
0.407789154,0.6473,0.6490,0.5666,1.078
0.421827692,0.6530,0.5671,0.6597,1.088
0.422722154,0.5921,0.5253,0.7567,1.095
0.423221846,0.5282,0.5175,0.7985,1.088
0.428458461,0.4873,0.5281,0.7872,1.066
0.433141154,0.4556,0.5426,0.7734,1.049
0.437296538,0.4155,0.5524,0.7769,1.040
0.443093231,0.3698,0.5522,0.7797,1.025
0.447541231,0.3298,0.5505,0.7636,0.997
0.452118384,0.2995,0.5568,0.7366,0.971
0.457528615,0.2758,0.5757,0.7233,0.965
0.463053461,0.2520,0.5991,0.7320,0.979
0.467354692,0.2506,0.6225,0.7433,1.001
0.472889538,0.2760,0.6476,0.7520,1.030
0.477749769,0.2672,0.6672,0.7487,1.038
0.482916615,0.2238,0.6776,0.7371,1.026
0.487417846,0.1700,0.6832,0.7601,1.036
0.492655308,0.1385,0.6778,0.8322,1.082
0.498034154,0.1292,0.6672,0.8605,1.097
0.502157538,0.1502,0.6639,0.8290,1.073
0.5074,0.1798,0.6497,0.7743,1.027
0.536014769,0.2164,0.6143,0.7193,0.970
0.536568615,0.2629,0.5759,0.7017,0.945
0.536844846,0.2963,0.5430,0.7208,0.950
0.536994769,0.3230,0.5158,0.7459,0.963
0.537116308,0.3535,0.4931,0.7601,0.973
0.537508,0.3931,0.4753,0.7769,0.992
0.543020615,0.4439,0.4701,0.8165,1.042
0.547789231,0.4844,0.4736,0.8608,1.095
0.553014154,0.4954,0.4772,0.8773,1.115
0.560199692,0.4832,0.4887,0.8603,1.101
0.564171615,0.4707,0.5048,0.8288,1.079
0.569333769,0.4549,0.5207,0.7946,1.053
