time,gFx,gFy,gFz,TgF
0.002902462,0.3108,-0.1280,-0.9301,0.989
0.003303615,0.3096,-0.1268,-0.9296,0.988
0.003808615,0.3079,-0.1292,-0.9257,0.984
0.004185846,0.3077,-0.1321,-0.9254,0.984
0.004654385,0.3071,-0.1344,-0.9240,0.983
0.007108615,0.3035,-0.1353,-0.9198,0.978
0.011305769,0.3006,-0.1356,-0.9181,0.975
0.011823308,0.2994,-0.1361,-0.9205,0.977
0.014386769,0.2977,-0.1337,-0.9233,0.979
0.017499308,0.2964,-0.1314,-0.9266,0.982
0.027073769,0.2937,-0.1300,-0.9291,0.983
0.027787923,0.2935,-0.1278,-0.9310,0.985
0.028188231,0.2940,-0.1280,-0.9320,0.986
0.028575077,0.2928,-0.1275,-0.9310,0.984
0.031336615,0.2917,-0.1300,-0.9294,0.983
0.032117846,0.2891,-0.1341,-0.9320,0.985
0.039809846,0.2903,-0.1321,-0.9308,0.984
0.040339923,0.2910,-0.1290,-0.9284,0.981
0.040709462,0.2928,-0.1265,-0.9296,0.983
0.041238692,0.2940,-0.1265,-0.9318,0.985
0.044695923,0.2942,-0.1241,-0.9326,0.986
0.047812846,0.2966,-0.1236,-0.9338,0.988
0.050440846,0.2952,-0.1251,-0.9301,0.984
0.053602692,0.2954,-0.1248,-0.9296,0.983
0.054648308,0.2952,-0.1232,-0.9271,0.981
0.057486154,0.2974,-0.1229,-0.9240,0.978
0.060046692,0.2979,-0.1221,-0.9210,0.976
0.063979077,0.3003,-0.1223,-0.9181,0.974
0.064446692,0.3017,-0.1226,-0.9122,0.969
0.071071692,0.3042,-0.1241,-0.9120,0.969
0.071439692,0.3064,-0.1232,-0.9122,0.970
0.071917539,0.3071,-0.1239,-0.9130,0.971
0.075260539,0.3079,-0.1256,-0.9154,0.974
0.077163923,0.3047,-0.1270,-0.9171,0.975
0.079928308,0.3064,-0.1283,-0.9213,0.979
0.082880308,0.3038,-0.1283,-0.9228,0.980
0.095859308,0.3001,-0.1280,-0.9266,0.982
0.096350769,0.2982,-0.1302,-0.9301,0.985
0.096745846,0.2954,-0.1304,-0.9335,0.988
0.097255385,0.2913,-0.1321,-0.9369,0.990
0.097631077,0.2901,-0.1321,-0.9384,0.991
0.101322154,0.2889,-0.1337,-0.9396,0.992
0.101835615,0.2881,-0.1337,-0.9438,0.996
0.102252,0.2842,-0.1327,-0.9482,0.999
0.122472923,0.2833,-0.1329,-0.9528,1.003
0.122924846,0.2812,-0.1327,-0.9557,1.005
0.123300923,0.2842,-0.1332,-0.9555,1.006
0.123726462,0.2889,-0.1349,-0.9580,1.010
0.124124615,0.2910,-0.1349,-0.9572,1.010
0.124491923,0.2805,-0.1334,-0.9564,1.006
0.124956308,0.2796,-0.1297,-0.9545,1.003
0.125395077,0.2896,-0.1275,-0.9548,1.006
0.125744231,0.2922,-0.1260,-0.9557,1.007
0.132029539,0.2933,-0.1295,-0.9574,1.010
0.132250769,0.2994,-0.1353,-0.9536,1.009
0.132446462,0.3054,-0.1486,-0.9492,1.008
0.135255077,0.3057,-0.1412,-0.9394,0.998
0.136647385,0.3069,-0.1275,-0.9345,0.992
0.140678769,0.3120,-0.1202,-0.9379,0.996
0.142361769,0.3133,-0.1165,-0.9394,0.997
0.145219923,0.3110,-0.1192,-0.9413,0.999
0.147732,0.3089,-0.1226,-0.9424,0.999
0.150067,0.3042,-0.1226,-0.9457,1.001
0.152715308,0.3013,-0.1244,-0.9518,1.006
0.154461462,0.2966,-0.1260,-0.9536,1.007
0.157549769,0.2928,-0.1258,-0.9545,1.006
0.159907615,0.2933,-0.1275,-0.9580,1.010
0.162347615,0.2896,-0.1290,-0.9572,1.008
0.164600923,0.2759,-0.1283,-0.9543,1.002
0.167256,0.2824,-0.1346,-0.9464,0.997
0.170713846,0.2768,-0.1395,-0.9474,0.997
0.184099308,0.2659,-0.1476,-0.9528,1.000
0.184531,0.2852,-0.1537,-0.9415,0.996
0.184810462,0.2901,-0.1458,-0.9403,0.995
0.185226692,0.2905,-0.1373,-0.9415,0.995
0.185500539,0.2903,-0.1309,-0.9424,0.995
0.185775,0.2868,-0.1302,-0.9435,0.995
0.188239923,0.2820,-0.1292,-0.9462,0.996
0.189750462,0.2810,-0.1265,-0.9462,0.995
0.192601462,0.2779,-0.1236,-0.9471,0.995
0.202689231,0.2771,-0.1246,-0.9438,0.991
0.203103077,0.2779,-0.1229,-0.9394,0.987
0.203461846,0.2803,-0.1263,-0.9369,0.986
0.203791615,0.2833,-0.1295,-0.9343,0.985
0.205096923,0.2847,-0.1327,-0.9331,0.985
0.207411308,0.2849,-0.1341,-0.9347,0.986
0.209935692,0.2859,-0.1356,-0.9359,0.988
0.212318077,0.2879,-0.1363,-0.9428,0.995
0.215086462,0.2873,-0.1334,-0.9482,1.000
0.217481769,0.2868,-0.1324,-0.9508,1.002
0.221566154,0.2891,-0.1290,-0.9508,1.002
0.223736846,0.2910,-0.1300,-0.9476,1.000
0.226116539,0.2928,-0.1321,-0.9438,0.997
0.228990077,0.2945,-0.1349,-0.9377,0.992
0.230017769,0.2949,-0.1344,-0.9345,0.989
0.233615615,0.2954,-0.1321,-0.9333,0.988
0.235517462,0.2952,-0.1288,-0.9318,0.986
0.237995,0.2896,-0.1285,-0.9350,0.987
0.240642077,0.2856,-0.1337,-0.9364,0.988
0.243181231,0.2808,-0.1476,-0.9387,0.991
0.245579615,0.2788,-0.1419,-0.9391,0.990
0.253557769,0.2784,-0.1321,-0.9443,0.993
0.253924923,0.2849,-0.1272,-0.9492,0.999
0.254266462,0.2920,-0.1248,-0.9492,1.001
0.255926692,0.2986,-0.1246,-0.9482,1.002
0.257907,0.3003,-0.1246,-0.9426,0.997
0.261871615,0.2986,-0.1278,-0.9366,0.991
0.262884846,0.2964,-0.1307,-0.9296,0.984
0.265414769,0.2940,-0.1349,-0.9250,0.980
0.268051308,0.2971,-0.1409,-0.9228,0.980
0.270574462,0.2989,-0.1486,-0.9120,0.971
0.273842769,0.2989,-0.1486,-0.9077,0.967
0.275474385,0.3052,-0.1498,-0.9110,0.972
0.278192,0.3050,-0.1556,-0.8942,0.958
0.280965846,0.3001,-0.1537,-0.8625,0.926
0.294131615,0.2959,-0.1439,-0.8541,0.915
0.294901846,0.2966,-0.1361,-0.8717,0.931
0.295287692,0.2986,-0.1327,-0.8917,0.950
0.295668846,0.3015,-0.1292,-0.9089,0.966
0.296014462,0.3020,-0.1327,-0.9333,0.990
0.296364,0.3075,-0.1526,-0.9580,1.018
0.298468846,0.3020,-0.1395,-0.9543,1.011
0.301402385,0.2971,-0.1363,-0.9587,1.013
0.303389154,0.2917,-0.1363,-0.9629,1.015
0.306668308,0.2903,-0.1381,-0.9631,1.015
0.309286692,0.2881,-0.1381,-0.9587,1.010
0.311267615,0.2908,-0.1397,-0.9489,1.002
0.313584615,0.2847,-0.1358,-0.9371,0.989
0.328822769,0.2871,-0.1383,-0.9217,0.975
0.329629462,0.2901,-0.1370,-0.9019,0.957
0.330020923,0.2879,-0.1376,-0.8873,0.943
0.330408,0.2798,-0.1346,-0.8861,0.939
0.330758154,0.2793,-0.1361,-0.8919,0.944
0.331111385,0.2824,-0.1373,-0.8988,0.952
0.331472539,0.2866,-0.1402,-0.9133,0.967
0.334547385,0.2917,-0.1449,-0.9359,0.991
0.336712846,0.2922,-0.1483,-0.9467,1.002
0.339809846,0.2868,-0.1510,-0.9516,1.005
0.340494077,0.2822,-0.1586,-0.9459,1.000
0.344078154,0.2835,-0.1796,-0.9271,0.986
0.347859692,0.2808,-0.1886,-0.9068,0.968
0.348293769,0.2668,-0.1651,-0.8844,0.938
0.351510077,0.2561,-0.1451,-0.9064,0.953
0.354090462,0.2458,-0.1365,-0.9235,0.965
0.363566769,0.2612,-0.1353,-0.9208,0.967
0.367498385,0.2676,-0.1337,-0.9242,0.971
0.368221462,0.2722,-0.1278,-0.9315,0.979
0.368574692,0.2728,-0.1268,-0.9379,0.985
0.369871385,0.2676,-0.1270,-0.9418,0.987
0.370414077,0.2644,-0.1300,-0.9476,0.992
0.372033539,0.2602,-0.1324,-0.9520,0.996
0.383902385,0.2579,-0.1349,-0.9580,1.001
0.384736846,0.2586,-0.1373,-0.9641,1.008
0.385408923,0.2600,-0.1390,-0.9660,1.010
0.386691,0.2627,-0.1402,-0.9665,1.011
0.387254462,0.2617,-0.1405,-0.9678,1.012
0.387754462,0.2605,-0.1397,-0.9631,1.007
0.390236,0.2581,-0.1427,-0.9536,0.998
0.392157154,0.2537,-0.1451,-0.9476,0.992
0.405294462,0.2539,-0.1456,-0.9362,0.981
0.405941846,0.2524,-0.1439,-0.9210,0.966
0.406315385,0.2532,-0.1427,-0.9098,0.955
0.406683077,0.2566,-0.1407,-0.9120,0.958
0.407039077,0.2598,-0.1393,-0.9184,0.965
0.407382077,0.2649,-0.1402,-0.9235,0.971
0.409048308,0.2625,-0.1421,-0.9189,0.966
0.411343923,0.2610,-0.1414,-0.9238,0.970
0.414058462,0.2588,-0.1351,-0.9298,0.975
0.416601462,0.2583,-0.1349,-0.9391,0.983
0.422899308,0.2581,-0.1378,-0.9501,0.994
0.426183923,0.2595,-0.1427,-0.9560,1.001
0.426574692,0.2561,-0.1481,-0.9567,1.001
0.426923077,0.2539,-0.1542,-0.9577,1.003
0.436152539,0.2549,-0.1551,-0.9623,1.008
0.437339308,0.2546,-0.1558,-0.9687,1.014
0.437773462,0.2551,-0.1581,-0.9750,1.020
0.438138692,0.2527,-0.1635,-0.9848,1.030
0.438496846,0.2500,-0.1691,-0.9907,1.036
0.441744923,0.2473,-0.1681,-0.9990,1.043
0.444618462,0.2449,-0.1668,-1.0051,1.048
0.447413769,0.2434,-0.1668,-1.0065,1.049
0.450243385,0.2421,-0.1642,-1.0060,1.048
0.453226462,0.2446,-0.1586,-1.0029,1.044
0.454724308,0.2461,-0.1493,-0.9983,1.039
0.457791308,0.2437,-0.1425,-0.9926,1.032
0.459476308,0.2395,-0.1461,-0.9860,1.025
0.461857154,0.2370,-0.1412,-0.9782,1.016
0.464375692,0.2353,-0.1363,-0.9699,1.007
0.468349154,0.2351,-0.1332,-0.9638,1.001
0.470422462,0.2327,-0.1312,-0.9599,0.996
0.477210154,0.2341,-0.1300,-0.9543,0.991
0.477895385,0.2339,-0.1337,-0.9513,0.989
0.478303077,0.2341,-0.1378,-0.9494,0.987
0.479866154,0.2376,-0.1397,-0.9487,0.988
0.497301154,0.2372,-0.1419,-0.9406,0.980
0.497970769,0.2372,-0.1434,-0.9264,0.967
0.498349846,0.2385,-0.1453,-0.9108,0.953
0.498726077,0.2365,-0.1451,-0.9000,0.942
0.499078462,0.2368,-0.1465,-0.8863,0.929
0.499483385,0.2353,-0.1474,-0.8651,0.909
0.499894462,0.2344,-0.1483,-0.8458,0.890
0.500269769,0.2376,-0.1524,-0.8362,0.883
0.502315615,0.2429,-0.1624,-0.8358,0.885
0.504517154,0.2465,-0.1719,-0.8304,0.883
0.507940231,0.2456,-0.1707,-0.8314,0.884
0.509264615,0.2468,-0.1644,-0.8519,0.902
0.512584539,0.2468,-0.1603,-0.8763,0.924
0.515655923,0.2456,-0.1600,-0.9035,0.950
0.516431385,0.2417,-0.1598,-0.9354,0.979
0.520050077,0.2363,-0.1561,-0.9689,1.009
0.523138154,0.2290,-0.1517,-1.0014,1.038
0.525412231,0.2227,-0.1495,-1.0356,1.070
0.527824846,0.2148,-0.1481,-1.0571,1.089
0.530192615,0.2060,-0.1405,-1.0722,1.101
0.532453846,0.1992,-0.1405,-1.0833,1.110
0.535281231,0.1943,-0.1383,-1.0908,1.117
0.538008308,0.1913,-0.1358,-1.0938,1.119
0.543038462,0.1901,-0.1353,-1.0936,1.118
0.543489539,0.1901,-0.1332,-1.0882,1.113
0.544913846,0.1909,-0.1312,-1.0810,1.106
0.549153846,0.1909,-0.1319,-1.0698,1.095
0.549828615,0.1897,-0.1332,-1.0537,1.079
0.552243385,0.1894,-0.1324,-1.0398,1.065
0.554715692,0.1887,-0.1316,-1.0224,1.048
0.557621539,0.1901,-0.1312,-1.0041,1.030
0.560122077,0.1901,-0.1307,-0.9907,1.017
0.563768,0.1938,-0.1327,-0.9767,1.005
0.565305846,0.1992,-0.1353,-0.9653,0.995
0.568255,0.2011,-0.1383,-0.9580,0.989
0.571485154,0.2053,-0.1421,-0.9523,0.985
0.572689154,0.2090,-0.1453,-0.9501,0.984
0.575202462,0.2123,-0.1476,-0.9489,0.983
0.577433769,0.2153,-0.1498,-0.9516,0.987
0.580240539,0.2190,-0.1512,-0.9525,0.989
0.586817769,0.2199,-0.1523,-0.9548,0.992
0.587436308,0.2195,-0.1519,-0.9585,0.995
0.587838692,0.2209,-0.1526,-0.9592,0.996
0.592759077,0.2185,-0.1523,-0.9620,0.998
0.593313154,0.2172,-0.1512,-0.9638,0.999
0.607601154,0.2172,-0.1510,-0.9613,0.997
0.608261846,0.2146,-0.1495,-0.9601,0.995
0.608609154,0.2141,-0.1470,-0.9629,0.997
0.609177769,0.2116,-0.1458,-0.9631,0.997
0.609571692,0.2114,-0.1474,-0.9592,0.993
0.609914077,0.2099,-0.1451,-0.9582,0.992
0.610271692,0.2094,-0.1461,-0.9592,0.993
0.612627077,0.2104,-0.1456,-0.9597,0.993
0.615933462,0.2114,-0.1451,-0.9599,0.994
0.618198692,0.2126,-0.1474,-0.9599,0.994
0.621167308,0.2288,-0.1688,-0.9604,1.002
0.623741769,0.2348,-0.1796,-0.9545,0.999
0.628003308,0.2229,-0.1698,-0.9433,0.984
0.628654077,0.2232,-0.1603,-0.9492,0.988
0.630807385,0.2209,-0.1627,-0.9555,0.994
0.633386385,0.2232,-0.1696,-0.9589,0.999
0.635325154,0.2195,-0.1632,-0.9589,0.997
0.637950154,0.2126,-0.1568,-0.9616,0.997
0.640314154,0.2070,-0.1493,-0.9626,0.996
0.642784308,0.2016,-0.1442,-0.9616,0.993
0.645968308,0.1960,-0.1407,-0.9611,0.991
0.648406692,0.1933,-0.1368,-0.9606,0.989
0.650477846,0.1924,-0.1344,-0.9601,0.988
0.653519077,0.1897,-0.1307,-0.9582,0.985
0.656128615,0.1887,-0.1302,-0.9604,0.987
0.658739923,0.1916,-0.1300,-0.9641,0.992
0.661655308,0.1945,-0.1353,-0.9685,0.997
0.663530692,0.1965,-0.1417,-0.9704,1.000
0.666705154,0.2011,-0.1465,-0.9718,1.003
0.671114385,0.2043,-0.1524,-0.9736,1.006
0.671817539,0.2072,-0.1591,-0.9773,1.012
0.672307,0.2106,-0.1666,-0.9753,1.012
0.675393462,0.2136,-0.1700,-0.9748,1.012
0.678411692,0.2167,-0.1719,-0.9706,1.009
0.684826692,0.2178,-0.1764,-0.9665,1.006
0.685646385,0.2187,-0.1800,-0.9636,1.004
0.686079692,0.2204,-0.1800,-0.9592,1.001
0.688159923,0.2204,-0.1830,-0.9560,0.998
0.701520308,0.2204,-0.1835,-0.9528,0.995
0.702230154,0.2211,-0.1835,-0.9506,0.993
0.702632308,0.2209,-0.1847,-0.9469,0.990
0.703316308,0.2190,-0.1857,-0.9464,0.989
0.703724539,0.2172,-0.1866,-0.9467,0.989
0.704079923,0.2172,-0.1868,-0.9462,0.989
0.705601154,0.2155,-0.1866,-0.9480,0.990
0.708067,0.2143,-0.1884,-0.9499,0.992
0.710494154,0.2151,-0.1886,-0.9506,0.993
0.712963077,0.2148,-0.1891,-0.9492,0.991
0.715993231,0.2146,-0.1881,-0.9525,0.994
0.718561231,0.2111,-0.1884,-0.9545,0.996
0.721043308,0.2114,-0.1889,-0.9555,0.997
0.723799077,0.2131,-0.1891,-0.9543,0.996
0.726460308,0.2131,-0.1905,-0.9550,0.997
0.728291923,0.2131,-0.1889,-0.9557,0.997
0.731362154,0.2114,-0.1901,-0.9540,0.995
0.733539923,0.2136,-0.1903,-0.9536,0.996
0.737659077,0.2104,-0.1884,-0.9550,0.996
0.738381769,0.2097,-0.1868,-0.9552,0.996
0.741346077,0.2111,-0.1864,-0.9552,0.996
0.743975308,0.2114,-0.1861,-0.9560,0.997
0.746552231,0.2123,-0.1859,-0.9560,0.997
0.749106077,0.2129,-0.1847,-0.9597,1.000
0.751895692,0.2134,-0.1823,-0.9572,0.998
0.753524539,0.2134,-0.1808,-0.9587,0.999
0.756296615,0.2146,-0.1805,-0.9587,0.999
0.759015615,0.2160,-0.1791,-0.9580,0.998
0.761402154,0.2165,-0.1796,-0.9580,0.998
0.763630769,0.2165,-0.1791,-0.9592,1.000
0.768525231,0.2180,-0.1781,-0.9569,0.997
0.768973154,0.2199,-0.1774,-0.9569,0.998
0.772024308,0.2199,-0.1779,-0.9540,0.995
0.774720923,0.2214,-0.1777,-0.9543,0.996
0.777284231,0.2227,-0.1756,-0.9550,0.996
0.778980615,0.2234,-0.1749,-0.9523,0.994
0.785457231,0.2227,-0.1730,-0.9538,0.995
0.786112923,0.2234,-0.1722,-0.9533,0.994
0.786503692,0.2244,-0.1712,-0.9550,0.996
0.789305231,0.2232,-0.1712,-0.9543,0.995
0.802844231,0.2224,-0.1707,-0.9567,0.997
0.803475385,0.2229,-0.1696,-0.9572,0.997
0.803828308,0.2236,-0.1681,-0.9574,0.997
0.804199308,0.2236,-0.1681,-0.9589,0.999
0.804544923,0.2234,-0.1691,-0.9604,1.000
0.805185231,0.2241,-0.1691,-0.9599,1.000
0.806563923,0.2244,-0.1688,-0.9599,1.000
0.809346769,0.2227,-0.1722,-0.9611,1.001
0.811724539,0.2236,-0.1700,-0.9626,1.003
0.814399692,0.2241,-0.1676,-0.9618,1.002
