time,gFx,gFy,gFz,TgF
0.002876076,0.9465,-0.0921,0.3141,1.002
0.003850846,0.9467,-0.0926,0.3129,1.001
0.004276923,0.9483,-0.0950,0.3124,1.003
0.004658846,0.9490,-0.0982,0.3141,1.004
0.020832384,0.9478,-0.0975,0.3111,1.002
0.021667769,0.9474,-0.0982,0.3116,1.002
0.022077615,0.9467,-0.0994,0.3131,1.002
0.022481,0.9465,-0.0982,0.3111,1.001
0.022884,0.9467,-0.0972,0.3102,1.001
0.023235076,0.9458,-0.0965,0.3080,0.999
0.023662153,0.9424,-0.0950,0.3078,0.996
0.024075153,0.9416,-0.0955,0.3053,0.994
0.024572307,0.9382,-0.0943,0.3057,0.991
0.037128384,0.9406,-0.0936,0.3053,0.993
0.038013615,0.9399,-0.0936,0.3050,0.993
0.038436384,0.9378,-0.0941,0.3041,0.990
0.038842538,0.9365,-0.0938,0.3023,0.989
0.039190846,0.9365,-0.0955,0.3029,0.989
0.039565615,0.9345,-0.0941,0.3053,0.988
0.044095461,0.9353,-0.0931,0.3067,0.989
0.044774846,0.9355,-0.0934,0.3067,0.989
0.047749,0.9355,-0.0931,0.3062,0.989
0.054551153,0.9372,-0.0931,0.3087,0.991
0.055264615,0.9355,-0.0916,0.3092,0.990
0.055651461,0.9378,-0.0918,0.3106,0.992
0.056429846,0.9399,-0.0913,0.3121,0.995
0.059883153,0.9429,-0.0943,0.3134,0.998
0.06451323,0.9431,-0.0931,0.3116,0.998
0.065893923,0.9460,-0.0929,0.3129,1.001
0.06669423,0.9446,-0.0943,0.3124,0.999
0.069569923,0.9438,-0.0941,0.3118,0.998
0.075820307,0.9424,-0.0945,0.3104,0.997
0.076440384,0.9421,-0.0941,0.3104,0.996
0.076858769,0.9438,-0.0950,0.3099,0.998
0.082407384,0.9450,-0.0953,0.3116,1.000
0.083093,0.9458,-0.0929,0.3141,1.001
0.092791769,0.9441,-0.0938,0.3155,1.000
0.093697846,0.9429,-0.0938,0.3148,0.998
0.094124307,0.9441,-0.0911,0.3138,0.999
0.094547076,0.9426,-0.0921,0.3134,0.998
0.096261,0.9424,-0.0929,0.3114,0.997
0.097062153,0.9441,-0.0929,0.3106,0.998
0.100488384,0.9448,-0.0926,0.3114,0.999
0.106134461,0.9446,-0.0950,0.3121,0.999
0.106808,0.9441,-0.0945,0.3146,1.000
0.107659384,0.9426,-0.0931,0.3165,0.999
0.10974223,0.9421,-0.0921,0.3162,0.998
0.112455692,0.9406,-0.0921,0.3155,0.996
0.114774461,0.9406,-0.0926,0.3150,0.996
0.117394153,0.9392,-0.0929,0.3143,0.995
0.119753307,0.9402,-0.0926,0.3129,0.995
0.122663769,0.9397,-0.0923,0.3126,0.995
0.12546923,0.9411,-0.0918,0.3148,0.997
0.130504076,0.9404,-0.0918,0.3138,0.996
0.131275692,0.9421,-0.0918,0.3134,0.997
0.13242923,0.9436,-0.0899,0.3126,0.998
0.135011153,0.9460,-0.0892,0.3129,1.000
0.140017923,0.9458,-0.0877,0.3099,0.999
0.14078223,0.9450,-0.0894,0.3092,0.998
0.14249023,0.9465,-0.0909,0.3097,1.000
0.146079692,0.9448,-0.0889,0.3121,0.999
0.147933846,0.9436,-0.0904,0.3102,0.997
0.150211076,0.9414,-0.0887,0.3104,0.995
0.152520615,0.9414,-0.0885,0.3099,0.995
0.154923461,0.9404,-0.0862,0.3121,0.995
0.158147461,0.9402,-0.0843,0.3134,0.995
0.160875769,0.9402,-0.0860,0.3158,0.996
0.163724307,0.9397,-0.0857,0.3173,0.995
0.165359153,0.9397,-0.0850,0.3174,0.995
0.167550538,0.9416,-0.0880,0.3187,0.998
0.170589923,0.9426,-0.0882,0.3195,0.999
0.172608,0.9450,-0.0892,0.3178,1.001
0.174874538,0.9441,-0.0894,0.3158,1.000
0.179188,0.9448,-0.0909,0.3153,1.000
