time,gFx,gFy,gFz,TgF
9.92308E-4,0.9793,0.1171,0.0581,0.988
0.001342154,0.9785,0.1166,0.0588,0.987
0.001580308,0.9788,0.1187,0.0600,0.988
0.003921231,0.9795,0.1218,0.0600,0.989
0.010073846,0.9817,0.1228,0.0602,0.991
0.010481538,0.9832,0.1226,0.0597,0.993
0.011267692,0.9817,0.1240,0.0597,0.991
0.013900692,0.9851,0.1228,0.0595,0.995
0.016156615,0.9841,0.1218,0.0597,0.993
0.019549308,0.9832,0.1218,0.0609,0.993
0.021904,0.9834,0.1211,0.0617,0.993
0.023756384,0.9841,0.1199,0.0626,0.993
0.026722538,0.9841,0.1203,0.0644,0.993
0.030203769,0.9844,0.1218,0.0654,0.994
0.032256077,0.9837,0.1203,0.0639,0.993
0.034088615,0.9839,0.1194,0.0600,0.993
0.036298846,0.9839,0.1199,0.0574,0.993
0.038897231,0.9858,0.1189,0.0565,0.995
0.041585231,0.9863,0.1182,0.0521,0.995
0.043996,0.9868,0.1189,0.0507,0.995
0.046868923,0.9861,0.1201,0.0509,0.995
0.049966154,0.9832,0.1199,0.0495,0.992
0.052353,0.9832,0.1194,0.0456,0.991
0.054020077,0.9841,0.1201,0.0485,0.993
0.056596923,0.9834,0.1191,0.0495,0.992
0.060158538,0.9825,0.1208,0.0497,0.991
0.061549846,0.9800,0.1215,0.0497,0.989
0.064279384,0.9814,0.1250,0.0514,0.991
0.067177,0.9807,0.1233,0.0529,0.990
0.069207769,0.9788,0.1252,0.0544,0.988
0.072057615,0.9770,0.1262,0.0576,0.987
0.074988384,0.9749,0.1255,0.0639,0.985
0.080090154,0.9758,0.1271,0.0693,0.986
0.080864,0.9756,0.1264,0.0739,0.987
0.081930769,0.9790,0.1275,0.0766,0.990
0.093917923,0.9797,0.1267,0.0739,0.991
0.094792077,0.9807,0.1267,0.0735,0.992
0.095390461,0.9809,0.1259,0.0735,0.992
0.095802154,0.9805,0.1233,0.0679,0.991
0.096208692,0.9821,0.1257,0.0634,0.992
0.097768615,0.9827,0.1233,0.0605,0.992
0.118476077,0.9853,0.1233,0.0583,0.995
0.119255154,0.9881,0.1211,0.0605,0.997
0.119838461,0.9888,0.1201,0.0639,0.998
0.120249846,0.9898,0.1208,0.0654,0.999
0.120631692,0.9876,0.1208,0.0649,0.997
0.121010231,0.9856,0.1213,0.0621,0.995
0.121467769,0.9837,0.1199,0.0561,0.993
0.121866538,0.9814,0.1203,0.0502,0.990
0.122259077,0.9830,0.1157,0.0453,0.991
0.122652923,0.9797,0.1174,0.0414,0.988
0.125128923,0.9800,0.1164,0.0392,0.988
0.128357231,0.9776,0.1138,0.0400,0.985
0.131273231,0.9716,0.1122,0.0388,0.979
0.132451692,0.9707,0.1118,0.0343,0.978
0.134693231,0.9683,0.1113,0.0336,0.975
0.137434154,0.9658,0.1131,0.0341,0.973
