time,gFx,gFy,gFz,TgF
8.22384E-4,0.9546,0.0351,0.2610,0.990
0.001206769,0.9548,0.0319,0.2671,0.992
0.001461769,0.9570,0.0272,0.2738,0.996
0.007943,0.9599,0.0197,0.2738,0.998
0.008298077,0.9656,0.0106,0.2715,1.003
0.00852,0.9690,-0.0019,0.2674,1.005
0.011483692,0.9697,-0.0054,0.2628,1.005
0.028042154,0.9675,-0.0086,0.2586,1.002
0.028445154,0.9636,-0.0114,0.2533,0.996
0.028649461,0.9595,-0.0102,0.2510,0.992
0.028866154,0.9514,-0.0079,0.2481,0.983
0.029053461,0.9495,-0.0012,0.2464,0.981
0.029260923,0.9474,-0.0007,0.2452,0.979
0.029455307,0.9492,0.0013,0.2473,0.981
0.031807384,0.9487,-0.0002,0.2468,0.980
0.034074692,0.9480,-0.0002,0.2445,0.979
0.038341846,0.9474,-0.0032,0.2428,0.978
0.03955223,0.9462,-0.0070,0.2398,0.976
0.041270692,0.9455,-0.0132,0.2364,0.975
0.043777846,0.9421,-0.0188,0.2310,0.970
0.047219,0.9402,-0.0188,0.2312,0.968
0.048762769,0.9411,-0.0168,0.2322,0.970
0.05156523,0.9416,-0.0137,0.2361,0.971
0.056135692,0.9453,-0.0147,0.2366,0.975
0.05659323,0.9448,-0.0105,0.2388,0.975
0.059452846,0.9495,-0.0056,0.2430,0.980
0.062925846,0.9516,-0.0026,0.2454,0.983
0.064772538,0.9497,-0.0061,0.2461,0.981
0.068580307,0.9495,-0.0095,0.2477,0.981
0.072262077,0.9523,-0.0079,0.2503,0.985
0.072810384,0.9548,-0.0119,0.2440,0.986
0.075124307,0.9588,-0.0176,0.2361,0.988
0.077108846,0.9616,-0.0203,0.2288,0.989
0.079878461,0.9688,-0.0217,0.2230,0.994
0.081390077,0.9749,-0.0217,0.2214,1.000
0.084136307,0.9712,-0.0212,0.2193,0.996
0.087495615,0.9690,-0.0168,0.2166,0.993
0.088983307,0.9719,-0.0086,0.2166,0.996
0.091484615,0.9732,-0.0058,0.2132,0.996
0.093879077,0.9729,-0.0030,0.2102,0.995
0.096527384,0.9741,-0.0039,0.2112,0.997
0.099145154,0.9783,0.0011,0.2126,1.001
0.108459307,0.9765,0.0069,0.2202,1.001
0.109293846,0.9778,0.0085,0.2247,1.003
0.109617461,0.9765,0.0102,0.2281,1.003
0.109931307,0.9732,0.0162,0.2315,1.000
0.117730154,0.9672,0.0243,0.2312,0.995
0.118271384,0.9599,0.0263,0.2307,0.988
0.118765461,0.9539,0.0300,0.2273,0.981
0.121060615,0.9502,0.0346,0.2271,0.978
0.133415923,0.9495,0.0381,0.2325,0.978
0.134074384,0.9502,0.0372,0.2340,0.979
0.134406461,0.9518,0.0360,0.2349,0.981
0.134791,0.9527,0.0309,0.2371,0.982
0.135081846,0.9551,0.0267,0.2388,0.985
0.135387307,0.9595,0.0211,0.2410,0.990
0.138724615,0.9585,0.0180,0.2440,0.989
0.139517154,0.9578,0.0146,0.2445,0.989
0.142587923,0.9580,0.0136,0.2513,0.990
0.144535923,0.9590,0.0134,0.2601,0.994
0.147208538,0.9602,0.0121,0.2689,0.997
0.149472,0.9616,0.0092,0.2733,1.000
0.152995615,0.9634,0.0092,0.2747,1.002
0.155015615,0.9672,0.0082,0.2713,1.005
0.158065231,0.9712,0.0085,0.2642,1.007
0.159338769,0.9751,0.0075,0.2601,1.009
0.161918769,0.9800,0.0072,0.2559,1.013
0.164464,0.9812,0.0067,0.2484,1.012
0.168744538,0.9851,0.0075,0.2481,1.016
0.169572615,0.9844,0.0085,0.2437,1.014
0.172150384,0.9841,0.0097,0.2417,1.013
0.175478154,0.9805,0.0067,0.2388,1.009
