time,gFx,gFy,gFz,TgF
0.002231615,0.9050,0.1026,0.4150,1.001
0.00286,0.9043,0.1026,0.4187,1.002
0.003298076,0.9067,0.0998,0.4201,1.004
0.00372423,0.9118,0.0957,0.4208,1.009
0.004089846,0.9182,0.0933,0.4218,1.015
0.013478384,0.9192,0.0915,0.4218,1.015
0.014294692,0.9113,0.0920,0.4194,1.007
0.014736,0.8966,0.0949,0.4187,0.994
0.015173153,0.8840,0.0977,0.4194,0.983
0.022072615,0.8737,0.0986,0.4250,0.977
0.022807,0.8754,0.0964,0.4289,0.980
0.023263307,0.8791,0.0942,0.4299,0.983
0.023684307,0.8864,0.0898,0.4303,0.989
0.030575692,0.8933,0.0861,0.4292,0.995
0.031442692,0.8994,0.0835,0.4292,1.000
0.031914692,0.9003,0.0812,0.4255,0.999
0.035623,0.8989,0.0842,0.4226,0.997
0.03633323,0.8945,0.0868,0.4184,0.991
0.039632846,0.8917,0.0886,0.4162,0.988
0.041976307,0.8917,0.0889,0.4147,0.987
0.050359076,0.8959,0.0889,0.4154,0.992
0.05107723,0.9047,0.0852,0.4140,0.999
0.051522153,0.9067,0.0840,0.4157,1.001
0.051963076,0.9043,0.0847,0.4235,1.002
0.054423307,0.8996,0.0871,0.4299,1.001
0.056805153,0.8998,0.0893,0.4324,1.002
0.06062823,0.9001,0.0884,0.4357,1.004
0.062372846,0.8969,0.0896,0.4364,1.001
0.063950461,0.8935,0.0923,0.4343,0.998
0.06659723,0.8989,0.0933,0.4301,1.001
0.06950023,0.9006,0.0952,0.4262,1.001
0.072131307,0.9010,0.0971,0.4267,1.002
0.074056,0.9003,0.0982,0.4292,1.002
0.077341153,0.9033,0.0961,0.4308,1.005
0.07900123,0.9084,0.0903,0.4306,1.009
0.090189769,0.9094,0.0923,0.4267,1.009
0.091121461,0.9028,0.0969,0.4280,1.004
0.091626153,0.9038,0.0977,0.4280,1.005
0.092044615,0.9080,0.0957,0.4220,1.006
0.092555615,0.8977,0.1026,0.4226,0.997
0.098640846,0.8913,0.1047,0.4271,0.994
0.099384538,0.8945,0.1035,0.4255,0.996
0.099850461,0.8947,0.1028,0.4243,0.996
0.115439384,0.8950,0.0989,0.4208,0.994
0.116365538,0.8954,0.0969,0.4199,0.994
0.116942692,0.8935,0.0986,0.4182,0.991
0.117342461,0.8901,0.0991,0.4196,0.989
0.11776123,0.8908,0.1003,0.4182,0.989
0.118167692,0.8945,0.0994,0.4179,0.992
0.118551,0.8930,0.0979,0.4157,0.990
0.119852307,0.8896,0.0989,0.4152,0.987
0.122759076,0.8835,0.1020,0.4135,0.981
0.124542769,0.8801,0.1028,0.4169,0.979
0.129639615,0.8781,0.1030,0.4187,0.978
0.130411615,0.8826,0.1022,0.4201,0.983
0.132003384,0.8845,0.1040,0.4223,0.986
0.134999384,0.8849,0.1022,0.4243,0.987
0.138687615,0.8879,0.1020,0.4289,0.991
0.139527923,0.8884,0.1020,0.4311,0.993
0.142030384,0.8930,0.0998,0.4299,0.996
0.144603307,0.8910,0.0989,0.4284,0.994
0.148307076,0.8866,0.0991,0.4275,0.989
0.150809153,0.8873,0.1010,0.4275,0.990
0.152066461,0.8876,0.1028,0.4280,0.991
0.154449461,0.8901,0.1035,0.4289,0.993
0.15766823,0.8922,0.1057,0.4318,0.997
0.160967,0.8935,0.1059,0.4308,0.998
0.162341538,0.8962,0.1035,0.4296,0.999
0.165120846,0.8964,0.1035,0.4318,1.000
0.167596,0.8957,0.1057,0.4343,1.001
0.169658153,0.8942,0.1042,0.4364,1.000
0.172589846,0.8952,0.1035,0.4348,1.001
0.174771384,0.8950,0.1030,0.4324,0.999
0.177213538,0.8971,0.1020,0.4284,0.999
0.179779307,0.8977,0.0998,0.4231,0.997
0.191140846,0.9026,0.0989,0.4233,1.002
0.192093153,0.9023,0.0982,0.4247,1.002
0.192855076,0.9003,0.0954,0.4226,0.999
0.193313461,0.9013,0.0945,0.4218,1.000
0.193754769,0.8982,0.0928,0.4213,0.996
0.209283307,0.8964,0.0930,0.4226,0.995
0.210296,0.8964,0.0924,0.4213,0.995
0.210795692,0.8957,0.0937,0.4194,0.993
0.211183,0.8962,0.0942,0.4187,0.994
0.21163723,0.8964,0.0940,0.4147,0.992
0.212027307,0.8952,0.0942,0.4076,0.988
0.212711,0.8940,0.0959,0.4035,0.985
0.213115384,0.8954,0.0942,0.4030,0.986
0.215673538,0.8942,0.0908,0.4066,0.986
0.224365461,0.8947,0.0893,0.4101,0.988
0.225431384,0.8922,0.0879,0.4140,0.988
0.225866384,0.8908,0.0881,0.4177,0.988
0.226236538,0.8906,0.0868,0.4238,0.990
0.227989461,0.8915,0.0881,0.4282,0.993
0.229960615,0.8910,0.0884,0.4292,0.993
0.232531076,0.8906,0.0891,0.4296,0.993
0.235175,0.8928,0.0908,0.4306,0.995
0.23873223,0.8945,0.0924,0.4308,0.997
0.239828,0.8964,0.0937,0.4277,0.998
0.242910769,0.8940,0.0949,0.4245,0.994
0.245359307,0.8947,0.0945,0.4220,0.994
0.250355307,0.8947,0.0954,0.4196,0.993
0.25108023,0.8928,0.0971,0.4171,0.990
0.253243076,0.8922,0.0966,0.4196,0.991
0.255545538,0.8930,0.0966,0.4189,0.991
0.25873323,0.8935,0.0964,0.4213,0.993
0.261425153,0.8945,0.0973,0.4257,0.995
0.263155076,0.8935,0.0969,0.4264,0.995
0.265574076,0.8925,0.1008,0.4277,0.995
0.268232307,0.8922,0.1020,0.4303,0.996
0.270684923,0.8959,0.1017,0.4348,1.001
0.273895076,0.9006,0.1017,0.4364,1.006
0.275587307,0.9010,0.1013,0.4385,1.007
0.27792,0.8994,0.1008,0.4408,1.007
0.280983692,0.8930,0.1045,0.4482,1.005
0.286875,0.8925,0.1040,0.4585,1.009
0.287830692,0.8957,0.1052,0.4667,1.015
0.288293461,0.8979,0.1030,0.4734,1.020
0.290901153,0.8996,0.1017,0.4739,1.022
0.293386076,0.9023,0.1005,0.4748,1.024
0.299407,0.9045,0.1010,0.4739,1.026
0.300350461,0.9052,0.1005,0.4765,1.028
0.301001153,0.9028,0.1028,0.4783,1.027
0.303243692,0.9001,0.1026,0.4832,1.027
0.307721461,0.8998,0.1052,0.4872,1.029
0.308846076,0.9015,0.1054,0.4914,1.032
0.310745538,0.9052,0.1057,0.4941,1.037
0.313692923,0.9057,0.1035,0.4970,1.038
0.316994461,0.9077,0.1033,0.4995,1.041
0.318271,0.9089,0.1020,0.5025,1.044
0.320622769,0.9089,0.1015,0.5037,1.044
0.323287076,0.9089,0.1008,0.5076,1.046
0.325933153,0.9101,0.1020,0.5102,1.048
0.328612538,0.9108,0.1050,0.5123,1.050
0.330774384,0.9084,0.1074,0.5144,1.049
0.333418384,0.9059,0.1113,0.5149,1.048
0.337947384,0.9057,0.1150,0.5139,1.048
0.33861223,0.9087,0.1131,0.5100,1.048
0.341234461,0.9101,0.1120,0.5098,1.049
0.343302384,0.9126,0.1094,0.5090,1.051
0.346211384,0.9182,0.1064,0.5046,1.053
0.348372307,0.9194,0.1033,0.5056,1.054
0.35108823,0.9171,0.1028,0.5049,1.052
0.353264307,0.9164,0.1026,0.5058,1.052
0.355687307,0.9128,0.0998,0.5083,1.049
0.359263076,0.9091,0.0998,0.5107,1.047
0.361854461,0.9089,0.1001,0.5139,1.049
0.363512538,0.9031,0.0984,0.5170,1.045
0.366307307,0.9003,0.1013,0.5207,1.045
0.368821769,0.8964,0.1040,0.5210,1.042
0.371078769,0.9018,0.1038,0.5168,1.045
0.373422769,0.9033,0.1030,0.5135,1.044
0.377407923,0.9031,0.1038,0.5088,1.042
0.37875623,0.9050,0.1059,0.5049,1.042
0.381500846,0.9062,0.1071,0.4978,1.039
0.387609538,0.9040,0.1054,0.4924,1.035
0.388611923,0.9023,0.1030,0.4865,1.030
0.389087615,0.9075,0.0998,0.4790,1.031
0.391601153,0.9103,0.0973,0.4714,1.030
0.401155,0.9082,0.0971,0.4602,1.023
0.40232823,0.9033,0.0998,0.4489,1.014
0.403097846,0.9077,0.1015,0.4394,1.014
0.403574461,0.9103,0.1045,0.4340,1.014
0.407916307,0.9059,0.1059,0.4257,1.007
0.409047307,0.9047,0.1066,0.4159,1.001
0.409540538,0.9008,0.1076,0.4073,0.994
0.411484,0.9096,0.1062,0.3964,0.998
0.414081846,0.9071,0.1089,0.3849,0.991
0.417603,0.9131,0.1054,0.3563,0.986
0.418644538,0.9211,0.0977,0.3060,0.976
0.42180523,0.9326,0.0889,0.2295,0.964
0.423953461,0.9478,0.0810,0.1255,0.959
0.426735615,0.9641,0.0761,0.0290,0.968
0.429227615,0.9778,0.0732,-0.0513,0.982
0.431255307,0.9895,0.0744,-0.1190,0.999
0.433758769,0.9988,0.0719,-0.1720,1.016
0.437584,1.0049,0.0724,-0.2128,1.030
0.439903076,1.0128,0.0675,-0.2360,1.042
0.441255076,1.0174,0.0649,-0.2495,1.050
0.443655692,1.0237,0.0607,-0.2495,1.055
0.446696538,1.0266,0.0568,-0.2406,1.056
0.449445538,1.0291,0.0488,-0.2265,1.055
0.451388,1.0296,0.0444,-0.2096,1.052
0.453732923,1.0303,0.0414,-0.1891,1.048
0.456618461,1.0217,0.0405,-0.1610,1.035
0.459745461,1.0076,0.0463,-0.1219,1.016
0.46206523,0.9919,0.0514,-0.0773,0.996
0.464371692,0.9768,0.0566,-0.0298,0.979
0.466987692,0.9611,0.0610,0.0192,0.963
0.469104923,0.9467,0.0626,0.0719,0.952
0.471351384,0.9394,0.0654,0.1218,0.950
0.474214461,0.9318,0.0707,0.1626,0.949
0.476371692,0.9241,0.0759,0.1970,0.948
0.479335923,0.9167,0.0849,0.2244,0.948
0.482040846,0.9106,0.0966,0.2481,0.949
0.489008538,0.9171,0.1064,0.2718,0.962
0.490329846,0.9238,0.1171,0.2824,0.973
0.491052538,0.9236,0.1245,0.2876,0.975
0.491813538,0.9380,0.1243,0.2874,0.989
0.494708923,0.9414,0.1318,0.2828,0.992
0.507347,0.9406,0.1413,0.2820,0.992
0.508353846,0.9455,0.1409,0.2815,0.997
0.509039,0.9521,0.1382,0.2801,1.002
0.509482769,0.9621,0.1389,0.2706,1.009
0.509916923,0.9758,0.1380,0.2606,1.019
0.510334461,0.9800,0.1404,0.2491,1.021
0.512316307,0.9821,0.1429,0.2312,1.019
0.51508123,0.9827,0.1462,0.2151,1.016
0.518029538,0.9841,0.1469,0.1953,1.014
0.52057623,0.9856,0.1441,0.1729,1.011
0.521962692,0.9861,0.1409,0.1550,1.008
0.524593769,0.9874,0.1367,0.1399,1.007
0.527706769,0.9886,0.1313,0.1287,1.006
0.529923923,0.9983,0.1252,0.1171,1.013
0.532269846,1.0051,0.1155,0.1047,1.017
0.535430153,1.0086,0.1066,0.0940,1.019
0.537166692,1.0061,0.0986,0.0847,1.014
0.540236307,1.0047,0.0924,0.0803,1.012
0.542438153,0.9981,0.0874,0.0737,1.005
0.544649461,0.9983,0.0800,0.0668,1.004
0.547423384,0.9939,0.0751,0.0646,0.999
0.550097153,0.9934,0.0722,0.0546,0.997
0.553460846,0.9902,0.0705,0.0488,0.994
0.554502384,0.9886,0.0695,0.0458,0.992
0.557887923,0.9881,0.0712,0.0395,0.991
0.559939,0.9853,0.0724,0.0388,0.989
0.563490153,0.9781,0.0754,0.0402,0.982
0.56485323,0.9739,0.0771,0.0414,0.978
0.567290153,0.9685,0.0812,0.0446,0.973
0.570376846,0.9629,0.0852,0.0519,0.968
0.573948615,0.9602,0.0898,0.0614,0.966
0.575454461,0.9565,0.0903,0.0702,0.963
0.57811323,0.9558,0.0954,0.0781,0.964
0.579943692,0.9570,0.0971,0.0817,0.965
0.582780846,0.9555,0.0998,0.0854,0.965
0.588292923,0.9592,0.1017,0.0874,0.969
0.589415692,0.9611,0.1062,0.0863,0.971
0.589866692,0.9639,0.1128,0.0863,0.974
0.592906769,0.9639,0.1150,0.0891,0.975
