time,gFx,gFy,gFz,TgF
0.002050461,0.9411,-0.1393,0.2962,0.996
0.012251154,0.9434,-0.1405,0.2955,0.999
0.012969,0.9426,-0.1405,0.2972,0.998
0.013423769,0.9426,-0.1409,0.2992,0.999
0.01383823,0.9429,-0.1395,0.2980,0.999
0.014286538,0.9429,-0.1400,0.2964,0.998
0.014699692,0.9409,-0.1393,0.2948,0.996
0.015289307,0.9382,-0.1388,0.2938,0.993
0.015689538,0.9382,-0.1373,0.2925,0.992
0.029766769,0.9382,-0.1365,0.2904,0.992
0.030617538,0.9357,-0.1351,0.2908,0.989
0.031232077,0.9360,-0.1344,0.2913,0.989
0.031605538,0.9367,-0.1339,0.2894,0.990
0.031980307,0.9367,-0.1361,0.2874,0.989
0.032357,0.9372,-0.1353,0.2892,0.990
0.032728923,0.9367,-0.1365,0.2906,0.990
0.033390154,0.9369,-0.1370,0.2913,0.991
0.038196307,0.9385,-0.1381,0.2925,0.993
0.038835384,0.9390,-0.1395,0.2950,0.994
0.041292,0.9387,-0.1390,0.2948,0.994
0.043675077,0.9392,-0.1383,0.2950,0.994
0.046177307,0.9416,-0.1385,0.2969,0.997
0.049110154,0.9411,-0.1381,0.2974,0.997
0.051953615,0.9426,-0.1383,0.2974,0.998
0.054384615,0.9446,-0.1385,0.2969,1.000
0.056381615,0.9458,-0.1370,0.2969,1.001
0.059088923,0.9446,-0.1358,0.2964,0.999
0.062652615,0.9436,-0.1368,0.2982,0.999
0.063818769,0.9418,-0.1365,0.2972,0.997
0.066321846,0.9424,-0.1376,0.2994,0.998
0.069291154,0.9394,-0.1378,0.2977,0.995
0.071455154,0.9382,-0.1388,0.2977,0.994
0.081766538,0.9369,-0.1349,0.2994,0.993
0.082587384,0.9378,-0.1356,0.3018,0.994
0.083141,0.9416,-0.1361,0.3023,0.998
0.083586538,0.9418,-0.1337,0.2997,0.997
0.083993307,0.9390,-0.1316,0.2985,0.994
0.099940077,0.9385,-0.1300,0.2964,0.993
0.100701846,0.9357,-0.1307,0.2962,0.990
0.101148,0.9360,-0.1316,0.2980,0.991
0.101548307,0.9387,-0.1329,0.2997,0.994
0.101949923,0.9397,-0.1314,0.3009,0.995
0.102500307,0.9387,-0.1321,0.3004,0.994
0.10307823,0.9406,-0.1334,0.2989,0.996
0.107090769,0.9424,-0.1332,0.2967,0.997
0.107835692,0.9406,-0.1319,0.2936,0.994
0.114167077,0.9424,-0.1332,0.2933,0.996
0.115382538,0.9431,-0.1329,0.2945,0.997
0.115821923,0.9429,-0.1312,0.2962,0.997
0.117997,0.9450,-0.1329,0.2974,1.000
0.121270538,0.9460,-0.1324,0.2992,1.001
0.121936,0.9429,-0.1319,0.2999,0.998
0.125579384,0.9448,-0.1307,0.2999,1.000
0.13003023,0.9465,-0.1327,0.3004,1.002
0.130742769,0.9462,-0.1329,0.3009,1.002
0.132120923,0.9460,-0.1334,0.3006,1.002
0.13438123,0.9434,-0.1332,0.3009,0.999
0.13711723,0.9409,-0.1344,0.3001,0.997
0.140193307,0.9378,-0.1346,0.3011,0.994
0.144148077,0.9378,-0.1339,0.2982,0.993
0.144801538,0.9353,-0.1327,0.2938,0.989
0.146962461,0.9365,-0.1321,0.2967,0.991
0.149546846,0.9367,-0.1344,0.2982,0.992
0.152371154,0.9360,-0.1341,0.3006,0.992
0.154479461,0.9365,-0.1349,0.3011,0.993
0.158199077,0.9362,-0.1337,0.3026,0.993
